Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Days at Company
0,1,0,2.0,3.0,3.8,0.16,5835
1,1,1,1.0,2.0,5.0,0.36,5774
1,1,1,1.0,1.0,2.6,0.2,5801
0,1,0,3.0,7.0,6.9,0.52,5903
1,0,1,2.0,4.0,3.6,0.29,5778
0,1,0,3.0,6.0,7.9,0.62,6107
0,1,1,2.0,4.0,4.4,0.33,5804
1,0,1,2.0,3.0,5.3,0.5,6033
1,1,1,0.0,1.0,1.8,0.12,5976
1,0,1,1.0,3.0,5.8,0.51,5974
0,1,1,3.0,5.0,4.7,0.32,6075
1,1,1,1.0,2.0,5.9,0.39,6032
1,1,0,3.0,6.0,6.7,0.59,6021
0,0,1,2.0,4.0,4.0,0.22,5959
1,0,0,2.0,4.0,7.6,0.57,5865
1,1,1,1.0,3.0,6.3,0.47,6094
1,1,1,1.0,3.0,6.7,0.46,5984
1,1,0,2.0,4.0,6.6,0.44,5824
0,1,0,2.0,4.0,7.4,0.6,5847
0,1,0,2.0,5.0,6.7,0.46,5849
0,0,1,1.0,2.0,3.6,0.2,5976
0,1,1,1.0,2.0,3.9,0.2,5758
0,1,0,0.0,1.0,3.0,0.19,5824
1,1,0,1.0,3.0,4.7,0.31,6039
1,0,0,4.0,8.0,8.7,0.81,5985
1,1,1,3.0,5.0,4.4,0.39,5892
0,1,1,3.0,6.0,5.8,0.42,5896
0,0,1,0.0,2.0,3.9,0.19,5940
0,1,1,3.0,7.0,6.6,0.56,5990
0,1,0,4.0,7.0,7.3,0.53,5805
0,0,1,1.0,3.0,5.4,0.33,5935
1,1,0,2.0,5.0,5.0,0.45,6060
0,1,1,2.0,3.0,6.0,0.36,5933
0,1,1,3.0,6.0,7.5,0.59,5766
1,1,0,4.0,10.0,10.0,0.94,6007
0,0,1,1.0,3.0,6.0,0.37,5868
1,1,0,2.0,6.0,7.4,0.65,6028
0,1,1,2.0,5.0,6.4,0.49,5905
1,1,1,1.0,3.0,5.6,0.38,6086
1,0,0,2.0,5.0,7.4,0.62,5826
0,0,1,3.0,5.0,6.1,0.39,5855
0,0,1,2.0,4.0,3.1,0.15,5962
